source,target,weight
сэм,фродо,58
горлум,сэм,22
гимли,леголас,20
мерри,пин,20
горлум,фродо,17
арагорн,леголас,14
смеагорл,фродо,14
горлум,смеагорл,10
фродо,фродо,9
гэндальф,теоден,9
нет,фродо,9
арагорн,гимли,8
гимли,глоина,8
горлума,сэм,8
арагорн,араторна,7
горлуму,фродо,7
дрого,фродо,7
мерри,пина,6
горлума,фродо,6
фарамир,фродо,6
кольцо,фродо,5
гэндальф,саруман,5
гимли,леголаса,5
эомер,эомунда,5
арагорн,гэндальф,5
гэндальф,изенгард,5
враг,фродо,5
гэндальф,фродо,5
дамрод,маблунг,5
сэммиум,фарамир,5
мордор,фродо,4
арагорн,гэндальфа,4
арагорна,леголас,4
гэндальфа,сарумана,4
гэндальф,ортханка,4
смеагорл,сэм,4
вонючка,фродо,4
арагорн,боромир,3
гимли,ну,3
гимли,гэндальф,3
гимли,эомер,3
арагорн,элендила,3
боромир,денэтора,3
тенгела,теодена,3
гэндальф,леголас,3
арагорн,лес,3
арагорна,леголаса,3
мерри,углук,3
пин,саруман,3
гимли,фангорн,3
мустангрима,теодена,3
гэндальф,древень,3
гэндальф,нет,3
арагорн,теоден,3
тенгела,теоден,3
гэндальфа,теоден,3
гэндальф,светозар,3
гимли,гэндальфу,3
гэндальф,изенгарда,3
древень,мерри,3
ладно,фродо,3
горлуму,сэм,3
смеагорл,смеагорл,3
вонючка,сэм,3
вонючка,липучка,3
мории,фродо,3
фарамира,фродо,3
отряд,фродо,3
