source,target,weight
сэм,фродо,118
гимли,леголас,18
мерри,пиппин,16
гэндальф,пиппин,13
гэндальфа,пиппин,9
арагорн,эомер,9
эовин,эомер,9
гондора,гэндальф,8
гэндальф,фродо,8
гимли,леголасом,7
гондора,рохана,7
мерри,сэм,7
гондора,пиппин,6
пиппин,фродо,6
мерри,эовин,6
фродо,фродо,6
мордора,сэм,6
мерри,фродо,6
бильбо,фродо,6
рози,сэм,6
денетора,пиппин,5
мерри,пиппина,5
арагорн,мерри,5
гимли,мерри,5
арагорном,гимли,5
арагорн,эовин,5
гимли,глоина,5
рохана,эовин,5
берегонд,пиппин,5
эовин,эовин,5
фарамир,эовин,5
кольцо,фродо,5
удел,фродо,5
пиппин,сэм,5
рози,фродо,5
берегонд,пиппина,4
минас тирит,рохана,4
леголас,мерри,4
арагорн,гимли,4
гимли,фродо,4
теоден,эомер,4
теодена,эомер,4
арагорн,имрахил,4
фарамира,эовин,4
арагорн,фарамира,4
арагорн,гэндальф,4
арагорн,минас тирит,4
кольцо,сэм,4
бильбо,сэм,4
горлума,сэм,4
арагорн,фродо,4
лото,фродо,4
гэндальф,гэндальф,3
гондора,гондора,3
мордор,фродо,3
минас тирит,фродо,3
мордоре,фродо,3
гондора,перегрин,3
гэндальф,денетор,3
денетор,энтелиона,3
паладин,перегрин,3
пиппин,удел,3
гэндальф,пиппина,3
дол амрота,имрахил,3
элладан,элрогир,3
арагорна,мерри,3
дунхарроу,теоден,3
арод,леголас,3
гимли,пиппин,3
гэндальф,тень,3
мордор,сэм,3
балдор,браго,3
гондора,марка,3
запад,фродо,3
гэндальфа,фродо,3
горлум,фродо,3
денетора,фарамира,3
марка,эорла,3
арагорн,исилдура,3
имрахил,эомер,3
имрахил,эомер роханский,3
фарамиру,эовин,3
арагорном,леголас,3
барад-дура,саурона,3
имрахил,элронда,3
гэндальфом,леголас,3
гимли,гэндальфом,3
гэндальф,саурона,3
горбаг,шаграт,3
гондора,запад,3
запад,саурона,3
сэм,шаграт,3
сэм,удел,3
сэм,сэм,3
сэм,элберет,3
сэм,эфел дуата,3
гэндальф,сэм,3
галадриэль,фродо,3
мерри,фарамир,3
гондора,теодена,3
галадриэль,келеборн,3
галадриэль,элронд,3
билл,сэм,3
коттон,рози,3
коттон,сэм,3
рози,эланор,3
